--- scanner 1 ---
-618,-824,-621
-537,-823,-458
-447,-329,318
404,-588,-901
-27,-1108,-65
544,-627,-890
408,-1815,803
-499,-1607,-770
528,-643,409
-601,-1648,-643
-661,-816,-575
568,-2007,-577
390,-675,-793
534,-1912,768
497,-1838,-617
423,-701,434
-635,-1737,486
396,-1931,-563
-345,-311,381
459,-707,401
-518,-1681,-600
432,-2009,850
-739,-1745,668
-687,-1600,576
-485,-357,347

--- scanner 4 ---
727,592,562
-293,-554,779
441,611,-461
-714,465,-776
-743,427,-804
-660,-479,-426
832,-632,460
927,-485,-438
408,393,-506
466,436,-512
110,16,151
-258,-428,682
-393,719,612
-211,-452,876
808,-476,-593
-575,615,604
-485,667,467
-680,325,-822
-627,-443,-432
872,-547,-609
833,512,582
807,604,487
839,-516,451
891,-625,532
-652,-548,-490
30,-46,-14
